Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,labels
2023-04-16 08:50:29:662669,0.0,-8.0,1012.0,-840.0,560.0,-490.0,-166.0,-166.0,-166.0,0.0
2023-04-16 08:50:29:678127,2.0,1.0,1023.5,-770.0,280.0,-455.0,-164.0,-164.0,-164.0,0.0
2023-04-16 08:50:29:687056,7.333333333333333,-2.0,1035.3333333333333,-762.2222222222222,350.0,-466.6666666666667,-166.33333333333334,-166.33333333333334,-166.33333333333334,0.0
2023-04-16 08:50:29:702658,16.5,-3.5,1039.25,-737.9166666666666,402.5,-490.0,-167.0,-167.0,-167.0,0.0
2023-04-16 08:50:29:712915,13.2,2.8,1031.8,-719.1333333333333,490.0,-532.0,-167.2,-167.2,-167.2,0.0
2023-04-16 08:50:29:727106,12.833333333333334,8.333333333333334,1034.1666666666667,-702.3333333333334,490.0,-560.0,-167.0,-167.0,-167.0,0.0
2023-04-16 08:50:29:742471,14.0,17.0,1032.0,-680.5714285714286,370.0,-570.0,-166.85714285714286,-166.85714285714286,-166.85714285714286,0.0
2023-04-16 08:50:29:752910,11.25,17.0,1023.25,-676.4375,437.5,-586.25,-166.25,-166.25,-166.25,0.0
2023-04-16 08:50:29:767105,9.88888888888889,14.0,1021.5555555555557,-678.1913580246915,412.22222222222223,-606.6666666666666,-166.22222222222223,-166.22222222222223,-166.22222222222223,0.0
2023-04-16 08:50:29:777379,8.5,18.5,1017.8,-685.2722222222222,406.0,-595.0,-166.2,-166.2,-166.2,0.0
2023-04-16 08:50:29:792919,14.909090909090908,19.454545454545453,1021.9090909090908,-697.024334251607,337.27272727272725,-598.1818181818181,-166.36363636363637,-166.36363636363637,-166.36363636363637,0.0
2023-04-16 08:50:29:807111,15.833333333333334,19.75,1026.4166666666667,-709.4250841750842,320.8333333333333,-583.3333333333334,-167.08333333333334,-167.08333333333334,-167.08333333333334,0.0
2023-04-16 08:50:29:817492,15.615384615384617,19.76923076923077,1030.076923076923,-724.8539238539239,350.0,-581.5384615384615,-167.92307692307693,-167.92307692307693,-167.92307692307693,0.0
2023-04-16 08:50:29:832973,16.214285714285715,18.285714285714285,1032.357142857143,-742.007215007215,415.0,-580.0,-168.42857142857142,-168.42857142857142,-168.42857142857142,0.0
2023-04-16 08:50:29:842057,15.2,17.133333333333333,1031.6666666666667,-757.5622895622895,462.0,-574.0,-168.8,-168.8,-168.8,0.0
2023-04-16 08:50:29:857493,12.5625,16.0625,1028.6875,-772.0115214646464,503.125,-577.5,-168.625,-168.625,-168.625,0.0
2023-04-16 08:50:29:872964,13.529411764705882,13.941176470588236,1028.8235294117646,-784.4883523819509,498.2352941176471,-564.1176470588235,-168.76470588235293,-168.76470588235293,-168.76470588235293,0.0
2023-04-16 08:50:29:882177,12.72222222222222,10.5,1027.7222222222222,-795.3501105829537,505.55555555555554,-560.0,-168.44444444444446,-168.44444444444446,-168.44444444444446,0.0
2023-04-16 08:50:29:897517,13.421052631578949,8.263157894736842,1027.3684210526317,-804.0989967295573,523.1578947368421,-556.3157894736842,-168.1578947368421,-168.1578947368421,-168.1578947368421,0.0
2023-04-16 08:50:29:907970,14.9,6.3,1026.0,-809.5690468930794,521.5,-542.5,-167.85,-167.85,-167.85,0.0
2023-04-16 08:50:29:922327,15.142857142857142,6.0,1023.809523809524,-812.7641716442026,553.3333333333334,-526.6666666666666,-167.76190476190476,-167.76190476190476,-167.76190476190476,0.0
2023-04-16 08:50:29:937505,15.227272727272728,3.227272727272727,1023.0454545454544,-813.8575357430199,560.0,-515.4545454545455,-167.36363636363637,-167.36363636363637,-167.36363636363637,0.0
2023-04-16 08:50:29:947964,14.956521739130435,1.434782608695652,1023.3478260869564,-813.2739377806579,572.1739130434783,-499.1304347826087,-167.2608695652174,-167.2608695652174,-167.2608695652174,0.0
2023-04-16 08:50:29:962286,14.625,1.125,1022.7083333333334,-812.078495928686,618.3333333333334,-487.0833333333333,-167.29166666666666,-167.29166666666666,-167.29166666666666,0.0
2023-04-16 08:50:29:972602,13.28,1.56,1023.16,-809.4993560915386,624.4,-476.0,-167.44,-167.44,-167.44,0.0
2023-04-16 08:50:29:988227,13.0,2.1153846153846154,1022.8461538461538,-806.0126944667161,616.5384615384615,-465.7692307692308,-167.3846153846154,-167.3846153846154,-167.3846153846154,0.0
2023-04-16 08:50:30:002249,12.37037037037037,3.2222222222222223,1022.8888888888888,-801.9902764274825,606.6666666666666,-458.8888888888889,-167.5185185185185,-167.5185185185185,-167.5185185185185,0.0
2023-04-16 08:50:30:012603,12.928571428571429,4.964285714285714,1024.2857142857142,-797.9906236979295,612.5,-455.0,-167.32142857142858,-167.32142857142858,-167.32142857142858,0.0
2023-04-16 08:50:30:028232,14.275862068965518,6.103448275862069,1027.103448275862,-793.8625284693445,586.551724137931,-451.3793103448276,-167.3793103448276,-167.3793103448276,-167.3793103448276,0.0
2023-04-16 08:50:30:037212,15.0,6.433333333333334,1028.1,-790.500444187033,609.0,-443.3333333333333,-167.33333333333334,-167.33333333333334,-167.33333333333334,0.0
2023-04-16 08:50:30:052589,14.612903225806452,7.032258064516129,1030.645161290323,-787.799597392238,623.2258064516129,-440.3225806451613,-167.48387096774192,-167.48387096774192,-167.48387096774192,0.0
2023-04-16 08:50:30:068267,13.4375,8.375,1030.375,-785.5343755987305,649.6875,-435.3125,-167.6875,-167.6875,-167.6875,0.0
2023-04-16 08:50:30:077254,12.575757575757576,8.696969696969697,1029.060606060606,-783.5209372197057,649.0909090909091,-432.7272727272728,-167.72727272727272,-167.72727272727272,-167.72727272727272,0.0
2023-04-16 08:50:30:092770,10.735294117647058,7.852941176470588,1027.1764705882354,-781.5488681319289,636.1764705882352,-424.11764705882354,-167.73529411764707,-167.73529411764707,-167.73529411764707,0.0
2023-04-16 08:50:30:103059,10.82857142857143,8.17142857142857,1026.3714285714286,-779.5617576138739,602.0,-418.0,-167.68571428571428,-167.68571428571428,-167.68571428571428,0.0
2023-04-16 08:50:30:117252,10.083333333333334,8.277777777777779,1024.3333333333333,-778.0538692850934,593.0555555555555,-408.3333333333333,-168.02777777777777,-168.02777777777777,-168.02777777777777,0.0
2023-04-16 08:50:30:132778,9.027027027027026,8.486486486486486,1024.1891891891892,-777.0180817295429,575.1351351351351,-399.1891891891892,-167.97297297297297,-167.97297297297297,-167.97297297297297,0.0
2023-04-16 08:50:30:143055,8.868421052631579,8.710526315789474,1024.2368421052631,-776.3971072795966,545.2631578947369,-386.8421052631579,-168.1315789473684,-168.1315789473684,-168.1315789473684,0.0
2023-04-16 08:50:30:157238,8.307692307692308,8.179487179487179,1025.6410256410256,-776.6933024249586,540.2564102564103,-373.3333333333333,-168.07692307692307,-168.07692307692307,-168.07692307692307,0.0
2023-04-16 08:50:30:167710,8.8,8.85,1027.0,-777.4884698643347,518.0,-360.5,-168.3,-168.3,-168.3,0.0
2023-04-16 08:50:30:183130,8.853658536585366,8.146341463414634,1027.7073170731708,-778.7632900520576,510.4878048780488,-346.5853658536585,-168.2439024390244,-168.2439024390244,-168.2439024390244,0.0
2023-04-16 08:50:30:197254,8.80952380952381,7.619047619047619,1029.071428571429,-779.9832117174849,488.3333333333333,-333.3333333333333,-168.23809523809524,-168.23809523809524,-168.23809523809524,0.0
